,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/6320854,"Stack,Air Frame,Video Transmit...",8,2025-06-08 10:23,2025-06-30 09:00,Ministry of Defence Department of Defence,"Stack,Air Frame,Video Transmitter,Antenna RHCP,RC,Battery,Battery Charger"
1,GEM/2025/B/6322616,Artifical-Intelligence(based V...,2,2025-06-10 14:38,2025-06-30 09:00,Forest and Environment Department Odisha,"Artifical-Intelligence(based Video AnalyticsSoftware),VideoManagement-SystemSoftware"
2,GEM/2025/B/6305555,Dslr / Compact / Handheld Camc...,1,2025-06-03 17:16,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Dslr / Compact / Handheld Camcorder Or Video Cameras (V2)
3,GEM/2025/B/6172136,"Amplifier,Digital Signal Proce...",31,2025-04-25 16:41,2025-06-30 09:00,Ministry of Health and Family Welfare Department of Health and Family Welfare,"Amplifier,Digital Signal Processors,Data Video,Network Switch,Wireless Microphone,Encoder,AMX Net l"
4,GEM/2025/B/6212245,"DSLR Camera Lens,Dslr / Compac...",2,2025-06-09 11:29,2025-06-30 09:00,PMO Department of Atomic Energy,"DSLR Camera Lens,Dslr / Compact / Handheld Camcorder Or Video Cameras (V2)"
5,GEM/2025/B/5951538,Dslr / Compact / Handheld Camc...,7,2025-02-15 10:26,2025-06-30 10:00,Home Department Odisha,Dslr / Compact / Handheld Camcorder Or Video Cameras (V2)
6,GEM/2025/B/6277060,LED Video wall system,2,2025-06-05 08:43,2025-06-30 10:00,Ministry of Defence Department of Military Affairs,LED Video wall system
7,GEM/2025/B/6139338,"L 3 Access Switch 48 port,9 U ...",596,2025-06-27 19:00,2025-06-30 10:00,Ministry of Defence Department of Military Affairs,"L 3 Access Switch 48 port,9 U RACK INCLUDING JACK PANEL,2 KVA UPS WITH RACK AND BATTERIES,CAT 6 Cab"
8,GEM/2025/B/6198524,Supply and Installation of 4 m...,2621,2025-06-28 10:00,2025-06-30 10:00,Ministry of Defence Department of Military Affairs,Supply and Installation of 4 mega pixel resolution 4mm fixed lens outdoor weatherproof day and nigh
9,GEM/2025/B/6309992,AMC of Integrated Security and...,1,2025-06-17 10:58,2025-06-30 11:00,Ministry of Defence Department of Military Affairs,AMC of Integrated Security and Surveillance System - Remote Video Monitoring; Comprehensive; Hardwa
10,GEM/2025/B/6297538,"Desktop PC,MFD Machine,Printer...",664,2025-06-08 10:55,2025-06-30 11:00,Ministry of Defence Department of Military Affairs,"Desktop PC,MFD Machine,Printer,Video Camera,UTP Cable"
11,GEM/2025/B/6274153,Video Conferencing Camera / We...,15,2025-06-09 13:03,2025-06-30 13:00,Ministry of Defence Department of Military Affairs,"Video Conferencing Camera / Web Camera (V2),Entry and Mid Level Desktop Computer,High End Desktop C"
12,GEM/2025/B/6364380,Audio Digital Signal Processor...,2,2025-06-20 12:26,2025-06-30 13:00,Ministry of Statistics and Programme Implementation National Sample Survey Office (NSSO),"Audio Digital Signal Processor,Audio Video Cable"
13,GEM/2025/B/6273603,"Interactive Panels with CPU,Vi...",17,2025-06-09 13:08,2025-06-30 13:00,Ministry of Defence Department of Military Affairs,"Interactive Panels with CPU,Video Conferencing Camera / Web Camera (V2),Online UPS (V2),Entry and M"
14,GEM/2025/B/6365996,Dslr / Compact / Handheld Camc...,1,2025-06-20 12:50,2025-06-30 13:00,Ministry of Education Department of Higher Education,Dslr / Compact / Handheld Camcorder Or Video Cameras (V2)
15,GEM/2025/B/6361363,Dslr / Compact / Handheld Camc...,1,2025-06-19 16:37,2025-06-30 13:00,Ministry of Railways Indian Railways,Dslr / Compact / Handheld Camcorder Or Video Cameras (V2)
16,GEM/2025/B/6347985,INTEGRATED SECURITY SURVEILLAN...,1,2025-06-16 11:56,2025-06-30 13:00,Urban Development & Housing Department Bihar,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Remote Video Monitoring, Facili"
17,GEM/2025/B/6312367,"Display Screen,VC Conference C...",18,2025-06-12 15:14,2025-06-30 13:00,PMO Department of Atomic Energy,"Display Screen,VC Conference Camera,Echo Cancellation Device,Conference System Wireless,Conference "
18,GEM/2025/B/6296291,"Camera for CCTV System (V3),Vi...",265,2025-06-28 13:00,2025-06-30 13:00,Panchayats and Rural Housing Department Gujarat,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Video Recorder for CCTV System (V2)"
